id	state	city	potencia kwp	nro_paineis	geracao_media	preco
14307	SP	São Paulo	89.1	198	10514	R$319.626,30
14311	SP	São Paulo	100.5	300	11859	R$327.874,52
14327	SP	São Paulo	90	200	10620	R$321.919,72
14330	SP	São Paulo	103.18	308	12175	R$329.780,36
14339	SP	São Paulo	101.84	304	12017	R$331.224,61
14375	SP	São Paulo	96.6	210	11399	R$327.115,99
14378	SP	São Paulo	97.5	260	11505	R$331.375,98
14379	SP	São Paulo	99	264	11682	R$331.514,43
14387	SP	São Paulo	99	220	11682	R$331.565,40
14401	SP	São Paulo	101.25	270	11948	R$333.953,11
14413	SP	São Paulo	100.5	300	11859	R$337.700,89
14440	SP	São Paulo	105	280	12390	R$340.767,82
14456	SP	São Paulo	94.5	210	11151	R$334.761,10
14478	SP	São Paulo	107.2	320	12650	R$345.656,32
14480	SP	São Paulo	101.2	220	11942	R$340.605,72
14492	SP	São Paulo	103.5	276	12213	R$345.956,80
14524	SP	São Paulo	103.5	230	12213	R$345.305,44
14553	SP	São Paulo	106.88	285	12612	R$351.369,01
14563	SP	São Paulo	99	220	11682	R$347.773,83
14566	SP	São Paulo	99	220	11682	R$347.968,83
14585	SP	São Paulo	105	280	12390	R$354.473,50
14597	SP	São Paulo	107.2	320	12650	R$356.371,17
14618	SP	São Paulo	108	288	12744	R$357.430,84
14621	SP	São Paulo	105.8	230	12484	R$354.751,23
14635	SP	São Carlos	112.5	300	13275	R$360.603,93
14637	SP	São Paulo	108	240	12744	R$357.604,50
14645	SP	São Paulo	101.2	220	11942	R$357.124,54
14655	SP	São Paulo	114	304	13452	R$362.713,19
14688	SP	São Paulo	112.5	300	13275	R$365.398,26
14715	SP	São Carlos	102.6	228	12107	R$366.330,60
14720	SP	São Paulo	110.4	240	13027	R$367.455,76
14733	SP	São Carlos	112.5	300	13275	R$371.415,70
14747	SP	São Carlos	112.5	250	13275	R$370.347,80
14766	SP	São Paulo	112.5	300	13275	R$374.621,16
14772	SP	São Carlos	113.9	340	13440	R$379.658,86
